outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
visit,constant_ate,auuc,14447.017112748304,13444.076189376752,15485.918062995386,2000
visit,constant_ate,auuc_minus_response,-9905.520889188709,-10812.132080328529,-9031.27857368913,2000
visit,constant_ate,gain_at_10pct,2893.838291358123,2294.1773356818026,3483.0502688089623,2000
visit,constant_ate,gain_at_10pct_minus_response,-11219.867993888658,-12527.326736729383,-9839.447004290096,2000
visit,constant_ate,gain_at_20pct,5716.26239182577,4896.938762104364,6537.178029989487,2000
visit,constant_ate,gain_at_20pct_minus_response,-15926.107669659981,-17372.3179524371,-14458.224027400154,2000
visit,constant_ate,gain_at_30pct,8780.54159781217,7821.061471596373,9802.039262063965,2000
visit,constant_ate,gain_at_30pct_minus_response,-15464.125661552176,-16960.0136719715,-13993.044498608677,2000
visit,constant_ate,gain_at_5pct,1621.1541082323115,1220.409686930577,2023.1923422054726,2000
visit,constant_ate,gain_at_5pct_minus_response,-6308.0632368113,-7407.056574991361,-5127.677936254201,2000
visit,constant_ate,qini,0.3583537277208961,-513.5158205531454,548.4039390615529,2000
visit,constant_ate,qini_minus_response,-9905.52088918871,-10812.132080328529,-9031.27857368913,2000
visit,response_propensity,auuc,24352.538001937013,22816.519228794295,25958.449693849605,2000
visit,response_propensity,gain_at_10pct,14113.70628524678,12684.14449936396,15474.672882832185,2000
visit,response_propensity,gain_at_20pct,21642.37006148575,20041.159833107722,23274.525665733887,2000
visit,response_propensity,gain_at_30pct,24244.667259364345,22639.807715828374,25924.722383749027,2000
visit,response_propensity,gain_at_5pct,7929.217345043612,6814.931202302819,9000.861521215294,2000
visit,response_propensity,qini,9905.879242916431,9212.9921267549,10627.75295675193,2000
visit,s_learner,auuc,24997.076847034667,23537.6522653963,26531.39176538803,2000
visit,s_learner,auuc_minus_response,644.5388450976534,413.20897394885975,883.4699896278672,2000
visit,s_learner,gain_at_10pct,17918.935615846804,16627.543691339997,19257.338866760612,2000
visit,s_learner,gain_at_10pct_minus_response,3805.229330600023,2803.6086653681227,4828.7708719478815,2000
visit,s_learner,gain_at_20pct,22208.075878236836,20728.145186845795,23819.5275485404,2000
visit,s_learner,gain_at_20pct_minus_response,565.7058167510841,-104.22610326581069,1281.0098183467335,2000
visit,s_learner,gain_at_30pct,24765.23662655241,23194.483102372214,26405.4769357891,2000
visit,s_learner,gain_at_30pct_minus_response,520.5693671880654,45.791964817538805,1029.2732396057906,2000
visit,s_learner,gain_at_5pct,13328.967164783016,12353.464361090932,14359.073120452249,2000
visit,s_learner,gain_at_5pct_minus_response,5399.749819739404,4400.007407552868,6452.398082801138,2000
visit,s_learner,qini,10550.418088014085,9891.040139302608,11237.871922646473,2000
visit,s_learner,qini_minus_response,644.5388450976534,413.20897394885975,883.4699896278672,2000
visit,segment_uplift,auuc,23864.615070971267,22720.161556739502,25140.561169068817,2000
visit,segment_uplift,auuc_minus_response,-487.92293096574576,-1194.9167793393387,198.52021342122595,2000
visit,segment_uplift,gain_at_10pct,14431.60074986439,13590.692287244296,15311.970828972866,2000
visit,segment_uplift,gain_at_10pct_minus_response,317.89446461760963,-1018.7584218224746,1616.2536886401797,2000
visit,segment_uplift,gain_at_20pct,21147.687340516877,20078.01216715948,22256.34528641503,2000
visit,segment_uplift,gain_at_20pct_minus_response,-494.6827209688745,-1872.7834647468508,877.371848298466,2000
visit,segment_uplift,gain_at_30pct,23983.2172999996,22814.25705759911,25219.8792884576,2000
visit,segment_uplift,gain_at_30pct_minus_response,-261.44995936474515,-1544.0237139418916,1016.848812881902,2000
visit,segment_uplift,gain_at_5pct,6960.5543402499325,6368.826792441462,7574.195237890931,2000
visit,segment_uplift,gain_at_5pct_minus_response,-968.6630047936796,-2065.034043407386,164.29734080182013,2000
visit,segment_uplift,qini,9417.956311950686,8878.632757792138,9979.201344066458,2000
visit,segment_uplift,qini_minus_response,-487.92293096574576,-1194.9167793393387,198.52021342122595,2000
visit,t_learner,auuc,24559.349459095196,23186.9596322063,26025.79803269318,2000
visit,t_learner,auuc_minus_response,206.81145715818275,-467.57302393165503,931.1628721864049,2000
visit,t_learner,auuc_minus_s_learner,-437.72738793947065,-1027.7330043457223,170.500677838387,2000
visit,t_learner,gain_at_10pct,17081.648802356813,15797.690441177037,18366.32731706728,2000
visit,t_learner,gain_at_10pct_minus_response,2967.942517110032,1963.2641707976916,4046.3548510877004,2000
visit,t_learner,gain_at_20pct,22228.890688557796,20810.362635335197,23756.711293420012,2000
visit,t_learner,gain_at_20pct_minus_response,586.5206270720446,-349.7087139489315,1509.4779997782662,2000
visit,t_learner,gain_at_30pct,24835.12149782392,23355.181169285843,26474.50085505971,2000
