model_name,arm,probability_decile,rows,observed_rate,predicted_rate,minimum_prediction,maximum_prediction
s_learner,0,1,41880,4.775549188156638e-05,4.6327444579219446e-05,4.352801261120476e-05,4.76084096590057e-05
s_learner,0,2,41881,4.7754351615290944e-05,4.8388115828856826e-05,4.76084096590057e-05,4.885822636424564e-05
s_learner,0,3,41881,0.0,4.9265359848504886e-05,4.885822636424564e-05,4.9999864131677896e-05
s_learner,0,4,41881,7.163152742293641e-05,5.491625051945448e-05,4.9999864131677896e-05,6.6954962676391e-05
s_learner,0,5,41881,4.7754351615290944e-05,9.121269249590114e-05,6.6954962676391e-05,0.00011433466715971008
s_learner,0,6,41881,7.163152742293641e-05,0.0001409271062584594,0.00011434358020778745,0.0001709712523734197
s_learner,0,7,41881,0.00019101740646116378,0.00022995936160441488,0.0001709712523734197,0.0002988151682075113
s_learner,0,8,41881,0.0004297891645376185,0.00044510432053357363,0.0002988151682075113,0.0006544120260514319
s_learner,0,9,41881,0.001169981614574628,0.0011670965468510985,0.000654434144962579,0.001990466145798564
s_learner,0,10,41881,0.017048303526658867,0.017647892236709595,0.001990470103919506,0.7082093954086304
s_learner,1,1,237581,7.155454350305791e-05,5.8577516028890386e-05,5.469794268719852e-05,6.0354461311362684e-05
s_learner,1,2,237582,7.155424232475525e-05,6.139128527138382e-05,6.0354461311362684e-05,6.222425872692838e-05
s_learner,1,3,237582,7.99723884806088e-05,6.24229505774565e-05,6.222425872692838e-05,6.28266207058914e-05
s_learner,1,4,237582,7.576331540268203e-05,6.95856215315871e-05,6.28266207058914e-05,8.433823677478358e-05
s_learner,1,5,237582,9.680868079231591e-05,0.00011473197082523257,8.433823677478358e-05,0.00014596921391785145
s_learner,1,6,237582,0.00013048126541573014,0.00018237921176478267,0.00014596921391785145,0.0002249107783427462
s_learner,1,7,237582,0.0003198895539224352,0.00031226215651258826,0.0002249107783427462,0.0004268642223905772
s_learner,1,8,237582,0.0006566154001565775,0.0006651724106632173,0.0004268722841516137,0.00100603885948658
s_learner,1,9,237582,0.0018898738119891238,0.00189162977039814,0.00100603885948658,0.0032962097320705652
s_learner,1,10,237583,0.027346232684998507,0.027753857895731926,0.0032962143886834383,0.7428922057151794
t_learner,0,1,41880,2.387774594078319e-05,2.7894862796529196e-05,2.6826652174349874e-05,2.8598047720151953e-05
t_learner,0,2,41881,7.163152742293641e-05,2.9118860766175203e-05,2.8598047720151953e-05,2.965090607176535e-05
t_learner,0,3,41881,4.7754351615290944e-05,3.085433490923606e-05,2.965090607176535e-05,3.373256913619116e-05
t_learner,0,4,41881,2.3877175807645472e-05,4.119030199944973e-05,3.373256913619116e-05,5.4755666496930644e-05
t_learner,0,5,41881,2.3877175807645472e-05,8.750081178732216e-05,5.4755666496930644e-05,0.0001106283234548755
t_learner,0,6,41881,7.163152742293641e-05,0.00013243639841675758,0.0001106283234548755,0.0001640962582314387
t_learner,0,7,41881,0.00021489458226880924,0.00021680773352272809,0.0001640962582314387,0.00028474413556978106
t_learner,0,8,41881,0.00047754351615290945,0.0004057392361573875,0.0002847643627319485,0.0005713775753974915
t_learner,0,9,41881,0.0010983500871516918,0.001049148733727634,0.0005713775753974915,0.0018913456005975604
t_learner,0,10,41881,0.01707218070246651,0.017514029517769814,0.0018914357060566545,0.6775577068328857
t_learner,1,1,237581,7.155454350305791e-05,5.9916004829574376e-05,5.3774885600432754e-05,6.254907202674076e-05
t_learner,1,2,237582,0.00010522682694816947,6.437810225179419e-05,6.254907202674076e-05,6.569370452780277e-05
t_learner,1,3,237582,6.313609616890169e-05,6.667660636594519e-05,6.569370452780277e-05,6.76098934491165e-05
t_learner,1,4,237582,5.0508876935121346e-05,7.241248385980725e-05,6.76098934491165e-05,8.403763786191121e-05
t_learner,1,5,237582,0.00010522682694816947,0.0001125050985137932,8.403763786191121e-05,0.00014218594878911972
t_learner,1,6,237582,0.00012627219233780337,0.0001748133363435045,0.00014218594878911972,0.00021592363191302866
t_learner,1,7,237582,0.0003030532616107281,0.00029840320348739624,0.00021592363191302866,0.000416569848312065
t_learner,1,8,237582,0.0006987061309358453,0.0006633075536228716,0.000416569848312065,0.0010029542027041316
t_learner,1,9,237582,0.0019151282504566844,0.0019103214144706726,0.0010029542027041316,0.0032997364178299904
t_learner,1,10,237583,0.027299933076019748,0.02785753831267357,0.0032997895032167435,0.7482670545578003
