outcome_name,model_name,score_group,group_rows,mean_predicted_score,observed_uplift,calibrated_predicted_uplift
conversion,s_learner,1,279575,0.0083785029381932,0.008407298684820638,0.008408191168854306
conversion,s_learner,2,279575,0.0005339302651300455,0.0005307047860065427,0.0005757959912219684
conversion,s_learner,3,279575,0.00016603703096624824,0.0004025995524975465,0.00020847385485594437
conversion,s_learner,4,279575,6.7899885826169e-05,0.00010729724686822425,0.00011048905257587081
conversion,s_learner,5,279575,3.514636849112187e-05,0.0001514255100872512,7.778638005089987e-05
conversion,s_learner,6,279575,2.0514286654512654e-05,2.7977232087483258e-05,6.317701227624593e-05
conversion,s_learner,7,279575,1.4186545493210546e-05,5.636880391439821e-05,5.685909396219002e-05
conversion,s_learner,8,279575,1.3253255860701922e-05,-9.697500144818971e-06,5.592725311863512e-05
conversion,s_learner,9,279575,1.2697732443103768e-05,-2.037989520802202e-05,5.53725920659052e-05
conversion,s_learner,10,279574,1.1790360536709886e-05,1.2944458248994337e-05,5.446662871517198e-05
conversion,t_learner,1,279575,0.009287607872015099,0.007896657428202957,0.007854641179973282
conversion,t_learner,2,279575,0.0005885969285966594,0.0005997526319279328,0.0006512229991245664
conversion,t_learner,3,279575,0.00015730756913687644,0.00023605694140821555,0.0002940838216540829
conversion,t_learner,4,279575,5.350476868047378e-05,7.91114487217988e-05,0.00020812750030971334
conversion,t_learner,5,279575,3.8897342596483304e-05,6.894367222740541e-05,0.00019603148165733638
conversion,t_learner,6,279575,3.646030042965943e-05,4.369537511556625e-05,0.000194013432253079
conversion,t_learner,7,279575,3.2439908963037405e-05,2.323041194933435e-05,0.0001906842536633331
conversion,t_learner,8,279575,2.8448673690045094e-05,-4.62765850214365e-06,0.00018737921853732606
conversion,t_learner,9,279575,1.6778709200651277e-05,0.00013796900725274928,0.0001777156332263592
conversion,t_learner,10,279574,-0.0003687033187339267,0.0007316216663071158,-0.00014149171879051045
conversion,x_learner,1,279575,0.008782370246958762,0.008168436054945175,0.008144868383797016
conversion,x_learner,2,279575,0.0005521225167558645,0.0003391224464369513,0.0005705376345841482
conversion,x_learner,3,279575,0.00023399658176662504,0.0002695395155893342,0.00027776503155927095
conversion,x_learner,4,279575,0.00016997675744451145,0.00025646819735546925,0.00021884732460584528
conversion,x_learner,5,279575,8.786497515108707e-05,0.00015473242289166186,0.0001432795145124273
conversion,x_learner,6,279575,5.024237747394532e-05,9.329907655796989e-05,0.00010865528353023131
conversion,x_learner,7,279575,4.657829964776127e-05,-1.677857665696588e-05,0.00010528321767557559
conversion,x_learner,8,279575,4.624195412206819e-05,0.00010955810161092547,0.00010497367750848338
conversion,x_learner,9,279575,4.307375638745725e-05,-6.0908349098030066e-05,0.00010205797213636106
conversion,x_learner,10,279574,-0.00015432650756892356,0.00038319050506781976,-7.961030058168162e-05
