outcome_name,model_name,score_group,population_start_pct,population_end_pct,group_rows,treatment_rows,control_rows,treatment_rate,control_rate,observed_uplift,mean_predicted_score,incremental_outcomes,uplift_ci_lower,uplift_ci_upper
conversion,s_learner,1,0.0,10.0,279575,241516,38059,0.026983719505125955,0.018576420820305316,0.008407298684820638,0.0083785029381932,2350.47052980873,0.006904708029510554,0.009909889340130724
conversion,s_learner,2,10.0,20.0,279575,237365,42210,0.0019758599625050027,0.00144515517649846,0.0005307047860065427,0.0005339302651300455,148.3717905477792,0.00012666931446292823,0.0009347402575501573
conversion,s_learner,3,20.0,30.0,279575,237396,42179,0.0007582267603497953,0.0003556272078522488,0.0004025995524975465,0.00016603703096624824,112.55676988950155,0.0001913240448760831,0.0006138750601190099
conversion,s_learner,4,30.0,40.0,279575,236664,42911,0.0002704255822600818,0.00016312833539185756,0.00010729724686822425,6.7899885826169e-05,29.997627793183796,-3.050477511850293e-05,0.00024509926885495146
conversion,s_learner,5,40.0,50.0,279575,236954,42621,0.00019835073474176423,4.692522465451303e-05,0.0001514255100872512,3.514636849112187e-05,42.33478698264325,6.514576596824387e-05,0.00023770525420625853
conversion,s_learner,6,50.0,60.0,279575,236968,42607,0.00016879916275615273,0.00014082193066866948,2.7977232087483258e-05,2.0514286654512654e-05,7.821734660858132,-9.624304144355286e-05,0.00015219750561851938
conversion,s_learner,7,60.0,70.0,279575,237349,42226,8.005089551672853e-05,2.3682091602330316e-05,5.636880391439821e-05,1.4186545493210546e-05,15.75930835436788,-2.367102247653513e-06,0.00011510471007644994
conversion,s_learner,8,70.0,80.0,279575,237545,42030,3.7887558146877436e-05,4.758505829169641e-05,-9.697500144818971e-06,1.3253255860701922e-05,-2.711178602987764,-8.013647095182525e-05,6.07414706621873e-05
conversion,s_learner,9,80.0,90.0,279575,237292,42283,5.05706049930044e-05,7.095050020102642e-05,-2.037989520802202e-05,1.2697732443103768e-05,-5.6977092027827565,-0.00010560964144646314,6.484985103041908e-05
conversion,s_learner,10,90.0,100.0,279574,237482,42092,8.421690907100327e-05,7.127245082200893e-05,1.2944458248994337e-05,1.1790360536709886e-05,3.618933970504343,-7.574749455489404e-05,0.00010163641105288272
