outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
conversion,constant_ate,auuc,1674.819677164145,1385.9459544317695,1943.2429302444848,200
conversion,constant_ate,auuc_minus_response,-1306.7241777045147,-1530.8393801614066,-1066.9996105569614,200
conversion,constant_ate,gain_at_10pct,351.02522723702424,220.66959343252347,451.62149680542683,200
conversion,constant_ate,gain_at_10pct_minus_response,-2088.003248883497,-2515.683569744797,-1697.0860280982197,200
conversion,constant_ate,gain_at_20pct,666.9491036190271,481.3783082969944,830.6967985018675,200
conversion,constant_ate,gain_at_20pct_minus_response,-2154.6947458568384,-2546.9576289457086,-1770.8433529050374,200
conversion,constant_ate,gain_at_30pct,962.161682188416,674.6501013816928,1196.9316093312698,200
conversion,constant_ate,gain_at_30pct_minus_response,-2061.259548691793,-2401.1306330602383,-1704.0899630769998,200
conversion,constant_ate,qini,26.597739402684056,-129.71672394952304,140.3506350334129,200
conversion,constant_ate,qini_minus_response,-1306.7241777045147,-1530.8393801614066,-1066.9996105569614,200
conversion,response_propensity,auuc,2981.5438548686598,2573.7987132984445,3455.496056108745,200
conversion,response_propensity,gain_at_10pct,2439.028476120521,2001.2017293665353,2877.5435043952934,200
conversion,response_propensity,gain_at_20pct,2821.6438494758654,2379.5265759790977,3292.774193059324,200
conversion,response_propensity,gain_at_30pct,3023.421230880209,2579.0534991034137,3506.98381202604,200
conversion,response_propensity,qini,1333.3219171071987,1130.5223433997467,1560.236071356514,200
conversion,s_learner,auuc,2971.5566339381526,2566.1200510920057,3439.1467680487485,200
conversion,s_learner,auuc_minus_response,-9.987220930507192,-18.13341906648603,-1.0970777506316265,200
conversion,s_learner,gain_at_10pct,2350.47052980873,1957.0087195140363,2793.9872190880897,200
conversion,s_learner,gain_at_10pct_minus_response,-88.55794631179106,-143.92930606406514,-28.826808848819525,200
conversion,s_learner,gain_at_20pct,2807.1271216152613,2365.587396265729,3274.850168150879,200
conversion,s_learner,gain_at_20pct_minus_response,-14.516727860604078,-57.780875514413616,22.235438757089632,200
conversion,s_learner,gain_at_30pct,3027.762251855689,2590.7413810038265,3522.090997915272,200
conversion,s_learner,gain_at_30pct_minus_response,4.341020975480205,-14.159295587590112,23.610544282212715,200
conversion,s_learner,qini,1323.3346961766915,1119.8522022325908,1543.7910708410022,200
conversion,s_learner,qini_minus_response,-9.987220930507192,-18.13341906648603,-1.0970777506316265,200
conversion,segment_uplift,auuc,2892.95127416392,2508.0316366479547,3329.7806161416897,200
conversion,segment_uplift,auuc_minus_response,-88.5925807047397,-123.07208794663,-52.891197173265205,200
conversion,segment_uplift,gain_at_10pct,2052.278083157313,1690.8215211153802,2399.09455045222,200
conversion,segment_uplift,gain_at_10pct_minus_response,-386.750392963208,-619.3233916486304,-135.5142791922745,200
conversion,segment_uplift,gain_at_20pct,2851.3180804735866,2447.716928557075,3297.411804007192,200
