outcome_name,model_name,score_group,population_start_pct,population_end_pct,group_rows,treatment_rows,control_rows,treatment_rate,control_rate,observed_uplift,mean_predicted_score,incremental_outcomes,uplift_ci_lower,uplift_ci_upper
visit,s_learner,1,0.0,10.0,279575,242346,37229,0.2912282439157238,0.22713476053614118,0.0640934833795826,0.05861400757302413,17918.935615846804,0.05946904895594797,0.06871791780321722
visit,s_learner,2,10.0,20.0,279575,237258,42317,0.12084734761314687,0.11451662452442281,0.006330723088724066,0.008677506980394689,1769.9119075300307,0.0030253746460783535,0.00963607153136978
visit,s_learner,3,20.0,30.0,279575,236910,42665,0.03915410915537546,0.0375014649009727,0.0016526442544027645,0.0027648731710722876,462.0380174246529,-0.00031202881084312637,0.0036173173196486553
visit,s_learner,4,30.0,40.0,279575,237098,42477,0.012349323908257345,0.011747533959554583,0.0006017899487027623,0.0010678604953459044,168.2454249085748,-0.0005151408968256084,0.001718720794231133
visit,s_learner,5,40.0,50.0,279575,236685,42890,0.005729133658660244,0.004919561669386803,0.0008095719892734412,0.0006074851237927929,226.3360889011223,8.093812999119838e-05,0.001538205848555684
visit,s_learner,6,50.0,60.0,279575,236965,42610,0.0031945645981474057,0.0021121802393804273,0.0010823843587669784,0.00039270491819689006,302.607607102278,0.0005908143779152624,0.0015739543396186945
visit,s_learner,7,60.0,70.0,279575,237131,42444,0.001834429070851133,0.0013900669116954105,0.00044436215915572247,0.00024159849677382294,124.23255064596111,5.0283507728068715e-05,0.0008384408105833762
visit,s_learner,8,70.0,80.0,279575,237429,42146,0.0010360992128173054,0.0007355383666302851,0.00030056084618702026,0.0001326949057025975,84.0292985727362,1.1184786617598065e-05,0.0005899369057564424
visit,s_learner,9,80.0,90.0,279575,237431,42144,0.0006107037412974716,0.0005220197418375095,8.868399945996216e-05,8.498170787754536e-05,24.79382914901892,-0.0001509665268824146,0.0003283345258023389
visit,s_learner,10,90.0,100.0,279574,237278,42296,0.004985712961167912,0.005697938339322867,-0.0007122253781549548,1.4742089424749975e-06,-199.11969787229333,-0.0014835042706832383,5.905351437332875e-05
visit,t_learner,1,0.0,10.0,279575,241902,37673,0.2884763251233971,0.2273776975552783,0.06109862756811879,0.06503324261325438,17081.648802356813,0.05649720760607592,0.06570004753016166
visit,t_learner,2,10.0,20.0,279575,237372,42203,0.07377028461655123,0.06651185934649195,0.007258425270059279,0.009184334822174628,2029.274244876823,0.004658956774051526,0.009857893766067032
visit,t_learner,3,20.0,30.0,279575,237226,42349,0.021869440955038656,0.018512833833148362,0.003356607121890294,0.0023406795809340413,938.423436102479,0.0019443058538343222,0.004768908389946266
visit,t_learner,4,30.0,40.0,279575,236649,42926,0.008083702022827056,0.007198434515212225,0.0008852675076148307,0.0009014078830247228,247.4986634414163,7.934963693405589e-06,0.0017626000515362557
visit,t_learner,5,40.0,50.0,279575,237424,42151,0.003778051081609273,0.0027994590875661312,0.0009785919940431416,0.00047983440702761425,273.5898567346113,0.00041706439702187607,0.0015401195910644072
visit,t_learner,6,50.0,60.0,279575,237234,42341,0.002229865870827959,0.0019366571408327626,0.00029320872999519633,0.00029105855525064615,81.97383068840702,-0.00016656647932930318,0.0007529839393196958
visit,t_learner,7,60.0,70.0,279575,237291,42284,0.001588766535603963,0.0013953268375744962,0.0001934396980294668,0.00018299067526807814,54.080903576588184,-0.00019677375171198315,0.0005836531477709168
visit,t_learner,8,70.0,80.0,279575,237452,42123,0.001128649158566784,0.0010682999786340004,6.034917993278364e-05,0.00011478996390859829,16.872121979707988,-0.000279591023200532,0.00040028938306609926
visit,t_learner,9,80.0,90.0,279575,237239,42336,0.0016228360429777567,0.0016770597127739985,-5.422366979624185e-05,2.4351620331743378e-05,-15.159582483284316,-0.00047630392815048715,0.00036785658855800345
visit,t_learner,10,90.0,100.0,279574,236742,42832,0.0790945417374188,0.0750373552484124,0.004057186489006395,-0.004914648635371761,1134.283855477474,0.0013356494348809047,0.006778723543131885
visit,x_learner,1,0.0,10.0,279575,242348,37227,0.28973624704969714,0.2267708920944476,0.06296535495524955,0.05949439166437361,17603.539111613893,0.05834410779849168,0.06758660211200741
visit,x_learner,2,10.0,20.0,279575,237261,42314,0.10680221359599766,0.10051046934820626,0.0062917442477914,0.008732282101195584,1759.0143980762807,0.0031688933340796614,0.009414595161503139
visit,x_learner,3,20.0,30.0,279575,237088,42487,0.031633823727898504,0.028644055828841764,0.0029897678990567396,0.0026204373726164396,835.864360378788,0.0012542550865494466,0.004725280711564033
visit,x_learner,4,30.0,40.0,279575,236781,42794,0.014207221018578348,0.01367014067392625,0.0005370803446520973,0.0012629689081376037,150.15423735611012,-0.000661903274840895,0.0017360639641450896
visit,x_learner,5,40.0,50.0,279575,236716,42859,0.005305936227377955,0.004503138197344781,0.0008027980300331734,0.0006704959692656251,224.44225924652446,0.00010462326451693893,0.0015009727955494078
visit,x_learner,6,50.0,60.0,279575,237172,42403,0.002862901185637428,0.0021224913331603897,0.0007404098524770382,0.000491630587531581,207.00008450626797,0.00025244018974166166,0.0012283795152124148
visit,x_learner,7,60.0,70.0,279575,237397,42178,0.0018787095034899345,0.0013039973445872256,0.0005747121589027089,0.00043500393989698223,160.67515182522484,0.00018876775937198272,0.0009606565584334352
visit,x_learner,8,70.0,80.0,279575,237086,42489,0.0023831014905983483,0.0016945562380851515,0.0006885452525131968,0.0003273483699496169,192.500038971377,0.0002509755329908201,0.0011261149720355735
visit,x_learner,9,80.0,90.0,279575,237318,42257,0.0005182919121179177,0.0004259649288875216,9.232698323039608e-05,0.00017971820489037782,25.812316336637984,-0.0001246797969669124,0.0003093337634277046
visit,x_learner,10,90.0,100.0,279574,237364,42210,0.025639945400313443,0.026770907367922293,-0.0011309619676088505,-0.0006004326238414074,-316.18756113227676,-0.002796934069558185,0.0005350101343404837
visit,response_propensity,1,0.0,10.0,279575,240713,38862,0.37393493496404434,0.323452215531882,0.050482719432162315,0.36733477655974417,14113.706285246779,0.04544613358209472,0.05551930528222991
visit,response_propensity,2,10.0,20.0,279575,238082,41493,0.0707235322283919,0.05427421492781915,0.016449317300572745,0.06736169989884624,4598.817884307625,0.014038412518234528,0.018860222082910962
visit,response_propensity,3,20.0,30.0,279575,237487,42088,0.019247369329689627,0.016275422923398595,0.0029719464062910317,0.018871287807137996,830.8819165388152,0.0016427899161282399,0.004301102896453824
visit,response_propensity,4,30.0,40.0,279575,236850,42725,0.00807261980156217,0.006249268578115857,0.0018233512234463135,0.0076589251023865546,509.7634182950031,0.0009937484265084527,0.0026529540203841743
visit,response_propensity,5,40.0,50.0,279575,236468,43107,0.00420775749784326,0.0029229591481661913,0.0012847983496770687,0.004249833907920717,359.1974986109665,0.0007122734847551784,0.001857323214598959
visit,response_propensity,6,50.0,60.0,279575,237288,42287,0.002334715619837497,0.001347931988554402,0.000986783631283095,0.0021294450120099982,275.8800337159713,0.000586792353475477,0.001386774909090713
visit,response_propensity,7,60.0,70.0,279575,237382,42193,0.001175320790961404,0.0008769227122982485,0.0002983980786631554,0.0010970505416789443,83.42464284225166,-1.5873701924029387e-05,0.0006126698592503401
visit,response_propensity,8,70.0,80.0,279575,237069,42506,0.0007466180732191894,0.000635204441725874,0.00011141363149331542,0.0007048711382851739,31.14846602474366,-0.00015213706119805628,0.0003749643241846871
visit,response_propensity,9,80.0,90.0,279575,237767,41808,0.0005888117358590553,0.00043053960964408724,0.00015827212621496805,0.0005733135949791882,44.248929686549694,-6.319991168645688e-05,0.000379744164116393
visit,response_propensity,10,90.0,100.0,279574,237425,42149,0.00041697378119406127,0.0003796056845951268,3.7368096598934444e-05,0.0004878822539440923,10.447148238550499,-0.000165924317581407,0.00024066051077927588
visit,constant_ate,1,0.0,10.0,279575,237900,41675,0.048743169398907105,0.03839232153569286,0.010350847863214246,0.01034430880099535,2893.838291358123,0.008313271697730773,0.01238842402869772
visit,constant_ate,2,10.0,20.0,279575,237683,41892,0.0490064497671268,0.0389095770075432,0.010096872759583597,0.01034430880099535,2822.833201760584,0.008051786656100849,0.012141958863066345
visit,constant_ate,3,20.0,30.0,279575,237754,41821,0.048596448429889715,0.03763659405561799,0.010959854374271723,0.01034430880099535,3064.101286687017,0.008941434958714578,0.012978273789828867
visit,constant_ate,4,30.0,40.0,279575,237754,41821,0.04840297113823532,0.03856913990578896,0.009833831232446362,0.01034430880099535,2749.293366811192,0.007796596537974758,0.011871065926917966
visit,constant_ate,5,40.0,50.0,279575,237644,41931,0.04874518186867752,0.036870096110276404,0.011875085758401113,0.01034430880099535,3319.9771009049914,0.009874382071124501,0.013875789445677725
visit,constant_ate,6,50.0,60.0,279575,237354,42221,0.0485645912855903,0.03971957082968191,0.00884502045590839,0.01034430880099535,2472.846593960588,0.006791207198382261,0.010898833713434518
visit,constant_ate,7,60.0,70.0,279575,237628,41947,0.047780564579931656,0.03695139104107564,0.010829173538856013,0.01034430880099535,3027.5661921256697,0.008830566158714123,0.012827780918997903
visit,constant_ate,8,70.0,80.0,279575,237948,41627,0.04906534200749744,0.04081485574266702,0.008250486264830416,0.01034430880099535,2306.6296974899633,0.006160980812819964,0.010339991716840868
visit,constant_ate,9,80.0,90.0,279575,237607,41968,0.04861809626820759,0.03745711017918414,0.011160986089023446,0.01034430880099535,3120.33268583873,0.009149035116740187,0.013172937061306705
visit,constant_ate,10,90.0,100.0,279574,237259,42315,0.048798991819066925,0.03766985702469573,0.011129134794371193,0.01034430880099535,3111.416731001532,0.009118541013999726,0.01313972857474266
visit,segment_uplift,1,0.0,10.0,279575,240937,38638,0.13811494291038737,0.08649516020497955,0.05161978270540782,0.050970301032066345,14431.60074986439,0.04849670272386813,0.05474286268694751
visit,segment_uplift,2,10.0,20.0,279575,238835,40740,0.07565474072058115,0.05279823269513991,0.022856508025441237,0.02126413895733815,6390.108231212734,0.020439819490071207,0.025273196560811267
visit,segment_uplift,3,20.0,30.0,279575,237996,41579,0.04503016857426175,0.036244257918660865,0.008785910655600887,0.009252443152957772,2456.320971539618,0.006805679721759023,0.010766141589442751
visit,segment_uplift,4,30.0,40.0,279575,237246,42329,0.02952631445841026,0.024569444116326868,0.0049568703420833915,0.005025647622738428,1385.8170258879643,0.003332394016582125,0.006581346667584658
