outcome_name,feature,requested_bins,actual_bins,train_ate,validation_auuc,validation_qini
visit,f6,8,7,0.010370525682079246,23698.31532196199,9354.050080453666
visit,f8,8,5,0.010370525682079246,23632.742417414218,9288.477175905895
visit,f3,8,3,0.010370525682079246,23601.87131003819,9257.606068529867
visit,f8,5,4,0.010370525682079246,23388.31918742621,9044.053945917885
visit,f3,2,2,0.010370525682079246,23187.25338461527,8842.988143106946
visit,f3,3,2,0.010370525682079246,23187.25338461527,8842.988143106946
visit,f3,5,2,0.010370525682079246,23187.25338461527,8842.988143106946
visit,f6,5,5,0.010370525682079246,23179.63747964088,8835.372238132559
visit,f8,3,3,0.010370525682079246,22619.7019610393,8275.436719530977
visit,f9,5,3,0.010370525682079246,22472.080348762123,8127.8151072538
visit,f6,3,3,0.010370525682079246,22106.566719084003,7762.30147757568
visit,f9,8,3,0.010370525682079246,21791.209688008592,7446.944446500269
visit,f8,2,2,0.010370525682079246,21046.663342405496,6702.398100897173
visit,f0,8,7,0.010370525682079246,20846.266060762886,6502.000819254563
visit,f0,5,5,0.010370525682079246,20711.828008539058,6367.562767030735
visit,f0,2,2,0.010370525682079246,20458.980887722566,6114.715646214243
visit,f6,2,2,0.010370525682079246,20351.057478545365,6006.792237037042
visit,f0,3,3,0.010370525682079246,19377.35544848479,5033.090206976465
visit,f5,2,2,0.010370525682079246,18410.323840581954,4066.058599073631
visit,f5,3,2,0.010370525682079246,18410.323840581954,4066.058599073631
visit,f5,5,2,0.010370525682079246,18410.323840581954,4066.058599073631
visit,f5,8,2,0.010370525682079246,18410.323840581954,4066.058599073631
visit,f2,5,4,0.010370525682079246,17822.929669729012,3478.664428220689
visit,f2,8,5,0.010370525682079246,17179.395589598033,2835.1303480897095
visit,f11,2,2,0.010370525682079246,15483.77434400938,1139.509102501057
visit,f11,3,2,0.010370525682079246,15483.77434400938,1139.509102501057
visit,f11,5,2,0.010370525682079246,15483.77434400938,1139.509102501057
visit,f11,8,2,0.010370525682079246,15483.77434400938,1139.509102501057
visit,f2,3,3,0.010370525682079246,15294.916310777417,950.6510692690936
visit,f1,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f1,3,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f1,5,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f1,8,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f10,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f10,3,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f10,5,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f10,8,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f2,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f4,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f4,3,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f4,5,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f4,8,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f7,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f7,3,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f7,5,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f7,8,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f9,2,2,0.010370525682079246,14185.152627146741,-159.11261436158202
visit,f9,3,2,0.010370525682079246,14185.152627146741,-159.11261436158202
