outcome_name,model_name,metric,estimate,ci_lower,ci_upper,bootstrap_replicates
visit,constant_ate,auuc,14447.017112748303,13532.211232706899,15819.99479849985,200
visit,constant_ate,auuc_minus_response,-9905.52088918871,-10963.934321716433,-9008.632617723812,200
visit,constant_ate,gain_at_10pct,2893.838291358123,2295.404059913859,3475.1163590210717,200
visit,constant_ate,gain_at_10pct_minus_response,-11219.867993888656,-12652.03363454414,-9614.257075716821,200
visit,constant_ate,gain_at_20pct,5716.26239182577,4986.082502313102,6517.9976851147385,200
visit,constant_ate,gain_at_20pct_minus_response,-15926.107669659981,-17343.24871305421,-14289.783463220934,200
visit,constant_ate,gain_at_30pct,8780.54159781217,7962.92505180875,9749.32916620927,200
visit,constant_ate,gain_at_30pct_minus_response,-15464.125661552176,-17148.759780454417,-13857.655221632529,200
visit,constant_ate,qini,0.35835372772089613,-501.2679890137313,586.3711924230178,200
visit,constant_ate,qini_minus_response,-9905.52088918871,-10963.934321716433,-9008.632617723812,200
visit,response_propensity,auuc,24352.538001937013,22795.175355901945,26288.136316134594,200
visit,response_propensity,gain_at_10pct,14113.706285246779,12584.527897149463,15750.670702785685,200
visit,response_propensity,gain_at_20pct,21642.37006148575,20059.999493255706,23338.959386056515,200
visit,response_propensity,gain_at_30pct,24244.667259364345,22591.585068610944,26158.403633970738,200
visit,response_propensity,qini,9905.879242916431,9204.00046019019,10801.134303160157,200
visit,s_learner,auuc,24997.076847034667,23595.37484622324,26852.95841446043,200
visit,s_learner,auuc_minus_response,644.5388450976534,412.9948513752101,855.5378815486588,200
visit,s_learner,gain_at_10pct,17918.935615846804,16656.539736762723,19419.880928738537,200
visit,s_learner,gain_at_10pct_minus_response,3805.2293306000247,2867.561457434699,4855.370621543783,200
visit,s_learner,gain_at_20pct,22208.075878236836,20769.684582855207,24040.427803231694,200
visit,s_learner,gain_at_20pct_minus_response,565.7058167510841,-32.698448299267774,1107.0834901420567,200
visit,s_learner,gain_at_30pct,24765.23662655241,23315.2071914415,26510.166356002843,200
visit,s_learner,gain_at_30pct_minus_response,520.5693671880654,23.983084434124557,1020.1259437706067,200
visit,s_learner,qini,10550.418088014085,9931.99119728211,11509.898377026555,200
visit,s_learner,qini_minus_response,644.5388450976534,412.9948513752101,855.5378815486588,200
visit,segment_uplift,auuc,23864.615070971267,22683.91392850292,25368.984754002988,200
visit,segment_uplift,auuc_minus_response,-487.92293096574576,-1280.4011529771433,114.49004490514558,200
visit,segment_uplift,gain_at_10pct,14431.60074986439,13665.133850338365,15275.345042038496,200
visit,segment_uplift,gain_at_10pct_minus_response,317.89446461761145,-1207.406593259325,1505.3528301812487,200
visit,segment_uplift,gain_at_20pct,21147.687340516877,20126.219367377333,22185.139450619256,200
visit,segment_uplift,gain_at_20pct_minus_response,-494.6827209688745,-1938.319961547318,844.7131393542985,200
visit,segment_uplift,gain_at_30pct,23983.2172999996,22822.488250421975,25280.40989143986,200
visit,segment_uplift,gain_at_30pct_minus_response,-261.44995936474515,-1548.4891320445515,937.5962141128322,200
visit,segment_uplift,qini,9417.956311950686,8917.240439096555,9983.230109164238,200
visit,segment_uplift,qini_minus_response,-487.92293096574576,-1280.4011529771433,114.49004490514558,200
visit,t_learner,auuc,24559.349459095196,23198.748726848884,26248.537650612958,200
visit,t_learner,auuc_minus_response,206.81145715818275,-433.7677151194477,878.0946061444071,200
visit,t_learner,auuc_minus_s_learner,-437.72738793947065,-1002.5057113737898,132.2820323259867,200
visit,t_learner,gain_at_10pct,17081.648802356813,15603.851611724778,18307.77387278257,200
visit,t_learner,gain_at_10pct_minus_response,2967.942517110034,1718.9543275425003,3956.1100315020844,200
visit,t_learner,gain_at_20pct,22228.890688557796,20810.305601179993,24007.531556538055,200
visit,t_learner,gain_at_20pct_minus_response,586.5206270720446,-277.2980644974149,1428.2341224435092,200
visit,t_learner,gain_at_30pct,24835.12149782392,23303.827133977138,26780.931971137226,200
visit,t_learner,gain_at_30pct_minus_response,590.4542384595734,-214.28615370256318,1594.0625317433964,200
visit,t_learner,qini,10112.690700074614,9299.391750013663,10819.38134236997,200
visit,t_learner,qini_minus_response,206.81145715818275,-433.7677151194477,878.0946061444071,200
visit,t_learner,qini_minus_s_learner,-437.72738793947065,-1002.5057113737898,132.2820323259867,200
visit,x_learner,auuc,25098.58582601026,23794.835844408357,26897.136581681974,200
visit,x_learner,auuc_minus_response,746.0478240732482,373.58235305711725,1075.3558664178404,200
visit,x_learner,auuc_minus_s_learner,101.5089789755948,-223.3564831536121,401.32363833371056,200
visit,x_learner,auuc_minus_t_learner,539.2363669150654,1.749948187468278,1136.4754335338282,200
visit,x_learner,gain_at_10pct,17603.539111613893,16305.499878838102,18990.338915909462,200
visit,x_learner,gain_at_10pct_minus_response,3489.8328263671137,2493.286534111327,4386.923480062371,200
visit,x_learner,gain_at_20pct,22162.557140229543,20434.341478796323,23787.98444480653,200
visit,x_learner,gain_at_20pct_minus_response,520.1870787437911,-283.45886969272783,1180.7582142219298,200
visit,x_learner,gain_at_30pct,24983.736912913362,23488.880856227486,27023.013482442646,200
visit,x_learner,gain_at_30pct_minus_response,739.069653549017,97.19126650930976,1300.8845769777677,200
visit,x_learner,qini,10651.92706698968,9980.115818508692,11401.776509488755,200
visit,x_learner,qini_minus_response,746.0478240732482,373.58235305711725,1075.3558664178404,200
visit,x_learner,qini_minus_s_learner,101.5089789755948,-223.3564831536121,401.32363833371056,200
visit,x_learner,qini_minus_t_learner,539.2363669150654,1.749948187468278,1136.4754335338282,200
